Gear Assembly,GA Category,Month,Quarter,Fiscal Year,Quantity Produced,Sales Quantity,Price
Gear Assembly 1 (BS4),BS4 Only,April,Q1,2019-20,6280,6044,371
Gear Assembly 1 (BS4),BS4 Only,May,Q1,2019-20,5891,5372,503
Gear Assembly 1 (BS4),BS4 Only,June,Q1,2019-20,6791,5783,435
Gear Assembly 1 (BS4),BS4 Only,July,Q2,2019-20,5470,5056,344
Gear Assembly 1 (BS4),BS4 Only,August,Q2,2019-20,6730,6268,393
Gear Assembly 1 (BS4),BS4 Only,September,Q2,2019-20,5213,4893,365
Gear Assembly 1 (BS4),BS4 Only,October,Q3,2019-20,5725,5271,462
Gear Assembly 1 (BS4),BS4 Only,November,Q3,2019-20,5717,5311,469
Gear Assembly 1 (BS4),BS4 Only,December,Q3,2019-20,5884,5237,347
Gear Assembly 1 (BS4),BS4 Only,January,Q4,2019-20,6570,6097,566
Gear Assembly 1 (BS4),BS4 Only,February,Q4,2019-20,6512,5964,545
Gear Assembly 1 (BS4),BS4 Only,March,Q4,2019-20,6514,6524,400
Gear Assembly 1 (BS4),BS4 Only,April,Q1,2020-21,5326,4858,513
Gear Assembly 1 (BS4),BS4 Only,May,Q1,2020-21,6139,5470,499
Gear Assembly 1 (BS4),BS4 Only,June,Q1,2020-21,5344,4722,529
Gear Assembly 1 (BS4),BS4 Only,July,Q2,2020-21,6208,5491,338
Gear Assembly 1 (BS4),BS4 Only,August,Q2,2020-21,6743,6079,375
Gear Assembly 1 (BS4),BS4 Only,September,Q2,2020-21,6118,5738,544
Gear Assembly 1 (BS4),BS4 Only,October,Q3,2020-21,6482,5970,497
Gear Assembly 1 (BS4),BS4 Only,November,Q3,2020-21,5266,4989,444
Gear Assembly 1 (BS4),BS4 Only,December,Q3,2020-21,5480,5340,452
Gear Assembly 1 (BS4),BS4 Only,January,Q4,2020-21,5678,5580,388
Gear Assembly 1 (BS4),BS4 Only,February,Q4,2020-21,5592,5447,539
Gear Assembly 1 (BS4),BS4 Only,March,Q4,2020-21,5789,5217,436
Gear Assembly 1 (BS4),BS4 Only,April,Q1,2021-22,5563,4966,428
Gear Assembly 1 (BS4),BS4 Only,May,Q1,2021-22,5639,5190,440
Gear Assembly 1 (BS4),BS4 Only,June,Q1,2021-22,5601,5197,372
Gear Assembly 1 (BS4),BS4 Only,July,Q2,2021-22,6786,5834,435
Gear Assembly 1 (BS4),BS4 Only,August,Q2,2021-22,5837,5737,463
Gear Assembly 2 (BS4),BS4 Only,April,Q1,2019-20,6404,5567,404
Gear Assembly 2 (BS4),BS4 Only,May,Q1,2019-20,5866,5604,541
Gear Assembly 2 (BS4),BS4 Only,June,Q1,2019-20,5972,5429,428
Gear Assembly 2 (BS4),BS4 Only,July,Q2,2019-20,6556,5917,378
