Badge Name,Summary,Count
Autobiographer,Filled out profile information,1.2k
Certified,Completed our new user tutorial,615
Editor,First post edit,642
First Emoji,Used an Emoji in a Post,829
First Flag,Flagged a post,104
First Like,Liked a post,3.8k
First Link,Added a link to another topic,86
First Mention,Mentioned a user in a post,475
First Onebox,Posted a link that was oneboxed,388
First Quote,Quoted a post,202
First Reaction,Reacted to the post,280
First Reply By Email,Replied to a post via email,144
First Share,Shared a post,168
New User of the Month,Outstanding contributions in their first month,57
Read Guidelines,Read the community guidelines,2.0k
Reader,Read every reply in a topic with more than 100 replies,422
Wiki Editor,First wiki edit,12
Licensed,Completed our advanced user tutorial,81
Appreciated,Received 1 like on 20 posts,993
Enthusiast,Visited 10 consecutive days,3.0k
Nice Share,Shared a post with 25 unique visitors,52
Out of Love,Used 50 likes in a day,34
Promoter,Invited a user,20
Solved!,Have a reply marked as a Solution,170
Thank You,Has 20 liked posts and gave 10 likes,899
Welcome,Received a like,1.8k
Aficionado,Visited 100 consecutive days,135
Anniversary,"Active member for a year, posted at least once",14.0k
Campaigner,Invited 3 basic users,9
Gives Back,Has 100 liked posts and gave 100 likes,148
Good Share,Shared a post with 300 unique visitors,7
Guidance Counsellor,Have 10 replies marked as Solutions,4
Higher Love,Used 50 likes in a day 5 times,4
Respected,Received 2 likes on 100 posts,63
Admired,Received 5 likes on 300 posts,2
Champion,Invited 5 members,3
Crazy in Love,Used 50 likes in a day 20 times,Not awarded
Devotee,Visited 365 consecutive days,9
Empathetic,Has 500 liked posts and gave 1000 likes,8
Great Share,Shared a post with 1000 unique visitors,Not awarded
Know-it-All,Have 50 replies marked as Solutions,Not awarded
Solution Institution,Have 150 replies marked as Solutions,Not awarded
Nice Reply,Received 10 likes on a reply,332
Nice Topic,Received 10 likes on a topic,153
Popular Link,Posted an external link with 50 clicks,132
Good Reply,Received 25 likes on a reply,44
Good Topic,Received 25 likes on a topic,55
Hot Link,Posted an external link with 300 clicks,9
Famous Link,Posted an external link with 1000 clicks,1
Great Reply,Received 50 likes on a reply,4
Great Topic,Received 50 likes on a topic,21
Basic,Granted all essential community functions,8.4k
Member,"Granted invitations, group messaging, more likes",150
Regular,"Granted recategorize, rename, followed links, wiki, more likes",127
Leader,"Granted global edit, pin, close, archive, split and merge, more likes",114
